ID,Name,Employer,Salary From,Salary To,City,URL
115122448,Middle QA engineer,Гибрид,,,Тамбов,https://hh.ru/vacancy/115122448
115043148,СЕО/Исполнительный директор директор (Start-up),Синькевич Мария Сергеевна,,,Москва,https://hh.ru/vacancy/115043148
112310138,Сборщик беспилотного летательного аппарата,Симбирское Конструкторское Бюро Пиранья,,,Ульяновск,https://hh.ru/vacancy/112310138
115133394,UX/UI дизайнер (MTS AI),МТС,,,Москва,https://hh.ru/vacancy/115133394
115076202,Графический дизайнер,Рекруто,60000,,Санкт-Петербург,https://hh.ru/vacancy/115076202
115075399,Специалист отдела трудоустройства (удаленно) в AI,Университет искусственного интеллекта,40000,,Санкт-Петербург,https://hh.ru/vacancy/115075399
114964305,QA manual (Ручной тестировщик),WMT,,,Москва,https://hh.ru/vacancy/114964305
115113641,Data Scientist,Московский Кредитный Банк,,,Москва,https://hh.ru/vacancy/115113641
115058396,Маркетолог,PAVEPO,160000,,Санкт-Петербург,https://hh.ru/vacancy/115058396
113880786,Стажёр веб-дизайнер,Базиум,,50000,Москва,https://hh.ru/vacancy/113880786
115042313,Ассистент блогера,Фризман Дарья,40000,60000,Санкт-Петербург,https://hh.ru/vacancy/115042313
115095383,Frontend-разработчик Vue/Nuxt,Центр 2М,,,Москва,https://hh.ru/vacancy/115095383
113786690,Копирайтер (по работе с ChatGpt) удаленно,Ycla-coding,,,Москва,https://hh.ru/vacancy/113786690
115113892,Директор юнита/Digital директор,Ingate,,,Москва,https://hh.ru/vacancy/115113892
112430185,SMM-редактор VIVA LA VIKA,Торговый Дом ВЛВ,,,Москва,https://hh.ru/vacancy/112430185
114972183,Помощник копирайтера,Polza Agency (ИП Ерхов Никита Владимирович),35000,55000,Москва,https://hh.ru/vacancy/114972183
115111069,Chief Marketing Officer,getmatch,350000,,Москва,https://hh.ru/vacancy/115111069
113880664,Стажёр копирайтер,Базиум,,50000,Москва,https://hh.ru/vacancy/113880664
115076969,Администратор школы рисования,Дашкова Татьяна Александровна,50000,65000,Санкт-Петербург,https://hh.ru/vacancy/115076969
115111396,Data Scientist - стажер в банк,FutureToday,,,Москва,https://hh.ru/vacancy/115111396
112884092,Личный ассистент,Ибара Александр Жоржевич,100000,120000,Москва,https://hh.ru/vacancy/112884092
115132157,Начальник отдела информационных технологий,Краснодар Водоканал,149500,,Краснодар,https://hh.ru/vacancy/115132157
115128409,Онлайн-мерчендайзер интернет-магазина бренда LOVE REPUBLIC,Мэлон Фэшн Груп,,,Санкт-Петербург,https://hh.ru/vacancy/115128409
114184994,AI-дизайнер / Нейрохудожник,MOSAIC,100000,,Москва,https://hh.ru/vacancy/114184994
115125325,Администратор проекта,Rubbles,,,Москва,https://hh.ru/vacancy/115125325
112978989,Аналитик по работе с данными,Московская Биржа,,,Москва,https://hh.ru/vacancy/112978989
108812994,Специалист по работе с текстом,АБК,31300,,Кромы,https://hh.ru/vacancy/108812994
115123110,Project manager-SMM,Ingate,65000,90000,Санкт-Петербург,https://hh.ru/vacancy/115123110
114623107,Контент-менеджер,ЦИФРОВЫЕ ТЕХНОЛОГИИ ЗДОРОВЬЯ,130000,160000,Москва,https://hh.ru/vacancy/114623107
115046444,Директор по продукту (CPO),CONSORT Group/КОНСОРТ,,,Москва,https://hh.ru/vacancy/115046444
115090130,PR-Assistant (помощник pr-менеджера),LionAdverts,,2000,Москва,https://hh.ru/vacancy/115090130
113880405,Стажер SMM,Базиум,,50000,Москва,https://hh.ru/vacancy/113880405
112301757,Графический дизайнер (офис),БИГЦЕНТР,90000,,Москва,https://hh.ru/vacancy/112301757
115065857,Рилс-мейкер,Колпаков Денис Викторович,60000,100000,Москва,https://hh.ru/vacancy/115065857
